mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54534.22235,-11.55576,0.0123,-11.2096,0.0125,Mercator
54536.75245,-11.52181,0.0088,-11.21774,0.008,HCT
54538.9805,-11.60992,0.017,-11.22327,0.0175,Mercator
54542.10306,-11.58224,0.017,-11.16684,0.02,Mercator
54542.99906,-11.53368,0.0196,-11.21234,0.0153,Mercator
54545.2012,-11.55622,0.0222,-11.20681,0.0234,Mercator
54547.10758,-11.56651,0.0195,-11.22233,0.0204,Mercator
54548.14629,-11.53853,0.012,-11.17829,0.0132,Mercator
54550.82621,-11.554,0.011,-11.15049,0.0153,HCT
54554.14797,-11.56066,0.017,-11.15333,0.0175,Mercator
54554.66091,-11.55364,0.0068,-11.14795,0.0089,HCT
54556.05752,-11.56359,0.015,-11.1681,0.0155,Mercator
54559.03928,-11.59487,0.0216,-11.20351,0.022,Mercator
54561.89326,-11.57014,0.0099,-11.15595,0.0124,HCT
54565.85836,-11.60692,0.0192,-11.15126,0.0209,HCT
54568.00228,-11.59219,0.0142,-11.17725,0.0147,Mercator
54569.07512,-11.58085,0.018,-11.16731,0.0148,Mercator
54570.14633,-11.58526,0.0124,-11.17931,0.0126,Mercator
54571.17843,-11.57902,0.017,-11.19145,0.0175,Mercator
54571.93086,-11.62812,0.0239,-11.18407,0.0282,Mercator
54573.01413,-11.60314,0.0127,-11.17073,0.0133,Mercator
54574.07278,-11.61999,0.0115,-11.17792,0.0163,Mercator
54576.71008,-11.59471,0.0156,-11.15122,0.0209,HCT
54577.1062,-11.63077,0.015,-11.16726,0.0153,Mercator
54579.13527,-11.61395,0.0099,-11.14603,0.0111,Mercator
54582.07767,-11.63536,0.0211,-11.20839,0.0241,Mercator
54582.92595,-11.63177,0.0286,-11.15541,0.043,Mercator
54583.9216,-11.60628,0.0103,-11.15241,0.0105,Mercator
54584.99672,-11.60038,0.0113,-11.15011,0.0118,Mercator
54585.80717,-11.63438,0.0068,-11.18163,0.0093,HCT
54585.98932,-11.60849,0.0098,-11.15485,0.0163,Mercator
54587.02742,-11.61626,0.0128,-11.15904,0.013,Mercator
54587.99375,-11.59825,0.0118,-11.14096,0.0123,Mercator
54589.0197,-11.6131,0.0092,-11.16645,0.012,Mercator
54590.00347,-11.60159,0.0088,-11.14544,0.0091,Mercator
54590.98826,-11.59554,0.0091,-11.16538,0.0113,Mercator
54591.97488,-11.60092,0.0127,-11.16726,0.0131,Mercator
54592.83706,-11.65262,0.0503,-11.22268,0.0503,MaidanakSITE
54593.02241,-11.59535,0.0081,-11.13773,0.0085,Mercator
54595.86383,-11.64552,0.0663,-11.21533,0.0682,MaidanakSITE
54595.93697,-11.59371,0.0109,-11.17803,0.0125,Mercator
54597.94165,-11.58785,0.0096,-11.16071,0.01,Mercator
54599.97734,-11.61392,0.0102,-11.18798,0.0106,Mercator
54605.0781,-11.61599,0.0159,-11.21283,0.0165,Mercator
54605.82218,-11.55341,0.0501,-11.15271,0.0506,MaidanakSITE
54608.02846,-11.58876,0.0078,-11.2106,0.0091,Mercator
54609.76519,-11.58848,0.0119,-11.18795,0.0161,HCT
